questions[0].question,questions[1].question,questions[2].question,questions[3].question,questions[4].question,questions[5].question,questions[6].question,questions[7].question,questions[8].question,questions[9].question,questions[10].question,questions[11].question,questions[12].question,questions[13].question,questions[14].question,questions[15].question,questions[16].question,questions[17].question,questions[18].question,questions[19].question,questions[20].question,questions[21].question,questions[22].question,questions[23].question,questions[24].question,questions[25].question,questions[26].question,questions[27].question,questions[28].question,questions[29].question,questions[30].question,questions[31].question,questions[32].question,questions[33].question,questions[34].question,questions[35].question,questions[36].question,questions[37].question,questions[38].question,questions[39].question,questions[40].question,questions[41].question,questions[42].question,questions[43].question,questions[44].question,questions[45].question,questions[46].question,questions[47].question,questions[48].question,questions[49].question,questions[0].answer,questions[1].answer,questions[2].answer,questions[3].answer,questions[4].answer,questions[5].answer,questions[6].answer,questions[7].answer,questions[8].answer,questions[9].answer,questions[10].answer,questions[11].answer,questions[12].answer,questions[13].answer,questions[14].answer,questions[15].answer,questions[16].answer,questions[17].answer,questions[18].answer,questions[19].answer,questions[20].answer,questions[21].answer,questions[22].answer,questions[23].answer,questions[24].answer,questions[25].answer,questions[26].answer,questions[27].answer,questions[28].answer,questions[29].answer,questions[30].answer,questions[31].answer,questions[32].answer,questions[33].answer,questions[34].answer,questions[35].answer,questions[36].answer,questions[37].answer,questions[38].answer,questions[39].answer,questions[40].answer,questions[41].answer,questions[42].answer,questions[43].answer,questions[44].answer,questions[45].answer,questions[46].answer,questions[47].answer,questions[48].answer,questions[49].answer,user_response,score,relationshipStatus
"Usually, I don't feel tired, worn out, used up, or exhausted.",Illness doesn't affect my mental health.,I have an adjusting nature and sense of belongingness.,Tension in life doesn't affect my health.,In most ways my life is close to my ideal.,The conditions of my life are excellent.,"In general, I feel I am in charge of the situation in which I live.",I like to watch programs on TV with everyone.,Personal relationships give me pleasure.,I am very much satisfied about everything in my life.,I always keep committed and involved.,I like to do any task at the right place and right time.,"I remain energetic, active, and vigorous the whole day.","People would describe me as a giving person, willing to share my time with others.",I take immense interest in other people.,The thought of an accident doesn't affect me.,Talking or thinking about my illness doesn't make any difference to me.,I am always careful about my manner of dress.,"For me, life has been a continuous process of learning, changing, and growth.",I believe that people are essentially good and can be trusted.,I enjoy my personal achievements.,I keep myself busy the whole day.,I am living the kind of life I wanted to.,In my daily life I get a chance to show how capable I am.,Age-related problems are part of life.,I have no hesitation in talking to anyone.,I have no difficulty sleeping.,I feel I must do what others expect me to do.,I think I have a particular meaning and purpose of my life.,I feel rested when I wake up in the morning.,I have a good influence on life.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I experience warm and trusting relationships with others.,"In many ways, I feel contented about my achievements in life.",I find easy to make decisions.,I feel that I am capable of working hard.,I have good relations with relatives and friends.,I find I can think quite clearly.,I feel eager to tackle my daily tasks or make new decisions.,I feel I can easily handle or cope with any serious problem.,I am quite good at managing responsibilities of my daily life.,Maintaining close relationships gives pleasure to me.,"If I could live my life over, I would change almost nothing.","So far, I have the important things I want in life.",I feel satisfied by doing religious activities.,It is always necessary that others approve of what I do.,I feel positive and creative.,I enjoy the company of other people.,I have happy memories of the past.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Undecided,Undecided,Disagree,Agree,Undecided,Disagree,Disagree,Agree,Undecided,Undecided,Strongly Agree,Undecided,Disagree,Undecided,Agree,Undecided,Undecided,Undecided,Agree,Disagree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Disagree,Disagree,Agree,Undecided,Undecided,Agree,Agree,Undecided,I have been feeling a bit anxious as my work is not going as per my expectation,160,Single
"If I could live my life over, I would change almost nothing.",The thought of an accident doesn't affect me.,I have happy memories of the past.,"For me, life has been a continuous process of learning, changing, and growth.",I am living the kind of life I wanted to.,I feel I must do what others expect me to do.,I enjoy the company of other people.,I like to watch programs on TV with everyone.,I feel that I am capable of working hard.,I find easy to make decisions.,I experience warm and trusting relationships with others.,In my daily life I get a chance to show how capable I am.,"People would describe me as a giving person, willing to share my time with others.",I have good relations with relatives and friends.,In most ways my life is close to my ideal.,Illness doesn't affect my mental health.,I feel satisfied by doing religious activities.,I enjoy my personal achievements.,I feel positive and creative.,"So far, I have the important things I want in life.",The conditions of my life are excellent.,I have an adjusting nature and sense of belongingness.,I think it is important to have new experiences that challenge how you think about yourself and the world.,"In general, I feel I am in charge of the situation in which I live.",I take immense interest in other people.,I have no difficulty sleeping.,It is always necessary that others approve of what I do.,I have a good influence on life.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I am very much satisfied about everything in my life.,Talking or thinking about my illness doesn't make any difference to me.,"I remain energetic, active, and vigorous the whole day.",I find I can think quite clearly.,Age-related problems are part of life.,Maintaining close relationships gives pleasure to me.,Tension in life doesn't affect my health.,I always keep committed and involved.,"In many ways, I feel contented about my achievements in life.",I am quite good at managing responsibilities of my daily life.,I feel rested when I wake up in the morning.,Personal relationships give me pleasure.,I think I have a particular meaning and purpose of my life.,I am always careful about my manner of dress.,I feel eager to tackle my daily tasks or make new decisions.,I believe that people are essentially good and can be trusted.,I like to do any task at the right place and right time.,I keep myself busy the whole day.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I feel I can easily handle or cope with any serious problem.,I have no hesitation in talking to anyone.,Undecided,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,"I feel well mentally and emotionally, I'm a person who doesn't feel much attached with anyone usually so it's normal for me to stay here without any overthinking. I do have some doubts and questions raised about my career like what if I'm not able to be in top 10% of college? what if I don't meet the expectations that I've raised about myself right now or what if I just become an average kid in college. All of these doubts keep me awake at nights sometimes.",174,In a Relationship
I have good relations with relatives and friends.,The thought of an accident doesn't affect me.,I have no hesitation in talking to anyone.,I have happy memories of the past.,I find easy to make decisions.,I am very much satisfied about everything in my life.,I keep myself busy the whole day.,I like to do any task at the right place and right time.,I like to watch programs on TV with everyone.,I am living the kind of life I wanted to.,"For me, life has been a continuous process of learning, changing, and growth.",It is always necessary that others approve of what I do.,"I remain energetic, active, and vigorous the whole day.",I have an adjusting nature and sense of belongingness.,I feel rested when I wake up in the morning.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Illness doesn't affect my mental health.,Tension in life doesn't affect my health.,I believe that people are essentially good and can be trusted.,I find I can think quite clearly.,I always keep committed and involved.,I enjoy my personal achievements.,I am quite good at managing responsibilities of my daily life.,I think it is important to have new experiences that challenge how you think about yourself and the world.,The conditions of my life are excellent.,I experience warm and trusting relationships with others.,"I perform useful activities like reading, gardening, etc., in my leisure time.","People would describe me as a giving person, willing to share my time with others.",I feel satisfied by doing religious activities.,"In general, I feel I am in charge of the situation in which I live.",I feel eager to tackle my daily tasks or make new decisions.,"If I could live my life over, I would change almost nothing.",Talking or thinking about my illness doesn't make any difference to me.,I have a good influence on life.,I feel positive and creative.,In most ways my life is close to my ideal.,I am always careful about my manner of dress.,I feel that I am capable of working hard.,Age-related problems are part of life.,I take immense interest in other people.,In my daily life I get a chance to show how capable I am.,I feel I can easily handle or cope with any serious problem.,"In many ways, I feel contented about my achievements in life.",I think I have a particular meaning and purpose of my life.,"So far, I have the important things I want in life.",I feel I must do what others expect me to do.,Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I have no difficulty sleeping.,I enjoy the company of other people.,Strongly Agree,Undecided,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Undecided,Agree,Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Undecided,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Undecided,Agree,Agree,Undecided,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Undecided,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,"Overall, I've been doing well but sometimes feel a bit down.",196,Single
I have good relations with relatives and friends.,I believe that people are essentially good and can be trusted.,I experience warm and trusting relationships with others.,I feel I can easily handle or cope with any serious problem.,I have an adjusting nature and sense of belongingness.,Age-related problems are part of life.,In my daily life I get a chance to show how capable I am.,I feel eager to tackle my daily tasks or make new decisions.,In most ways my life is close to my ideal.,I am always careful about my manner of dress.,I feel satisfied by doing religious activities.,I find easy to make decisions.,"People would describe me as a giving person, willing to share my time with others.",I have no hesitation in talking to anyone.,I always keep committed and involved.,I am very much satisfied about everything in my life.,Tension in life doesn't affect my health.,I am quite good at managing responsibilities of my daily life.,I feel rested when I wake up in the morning.,"In many ways, I feel contented about my achievements in life.",I feel I must do what others expect me to do.,I enjoy my personal achievements.,I have no difficulty sleeping.,"Usually, I don't feel tired, worn out, used up, or exhausted.","For me, life has been a continuous process of learning, changing, and growth.","I perform useful activities like reading, gardening, etc., in my leisure time.",I think it is important to have new experiences that challenge how you think about yourself and the world.,I like to watch programs on TV with everyone.,"So far, I have the important things I want in life.",I take immense interest in other people.,I am living the kind of life I wanted to.,Illness doesn't affect my mental health.,"In general, I feel I am in charge of the situation in which I live.",The conditions of my life are excellent.,I like to do any task at the right place and right time.,Personal relationships give me pleasure.,Maintaining close relationships gives pleasure to me.,I keep myself busy the whole day.,The thought of an accident doesn't affect me.,"If I could live my life over, I would change almost nothing.",It is always necessary that others approve of what I do.,Talking or thinking about my illness doesn't make any difference to me.,I enjoy the company of other people.,I think I have a particular meaning and purpose of my life.,I have a good influence on life.,I feel positive and creative.,I have happy memories of the past.,I feel that I am capable of working hard.,"I remain energetic, active, and vigorous the whole day.",I find I can think quite clearly.,Agree,Undecided,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Strongly Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Disagree,Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,Agree,Undecided,Undecided,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Agree,"Overall, I've been doing well but sometimes feel a bit down.",185,Single
I feel satisfied by doing religious activities.,"In many ways, I feel contented about my achievements in life.","For me, life has been a continuous process of learning, changing, and growth.",I feel eager to tackle my daily tasks or make new decisions.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I am always careful about my manner of dress.,"People would describe me as a giving person, willing to share my time with others.",Personal relationships give me pleasure.,"So far, I have the important things I want in life.",Tension in life doesn't affect my health.,Illness doesn't affect my mental health.,I like to do any task at the right place and right time.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I find easy to make decisions.,In my daily life I get a chance to show how capable I am.,I believe that people are essentially good and can be trusted.,I feel rested when I wake up in the morning.,I feel I must do what others expect me to do.,I feel I can easily handle or cope with any serious problem.,I have an adjusting nature and sense of belongingness.,"If I could live my life over, I would change almost nothing.","In general, I feel I am in charge of the situation in which I live.",I have a good influence on life.,I take immense interest in other people.,I enjoy my personal achievements.,I enjoy the company of other people.,I have no hesitation in talking to anyone.,It is always necessary that others approve of what I do.,I am living the kind of life I wanted to.,I am very much satisfied about everything in my life.,I feel positive and creative.,Age-related problems are part of life.,I keep myself busy the whole day.,I have no difficulty sleeping.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Maintaining close relationships gives pleasure to me.,I have good relations with relatives and friends.,I experience warm and trusting relationships with others.,The thought of an accident doesn't affect me.,I always keep committed and involved.,"I remain energetic, active, and vigorous the whole day.",I feel that I am capable of working hard.,I like to watch programs on TV with everyone.,I have happy memories of the past.,I find I can think quite clearly.,Talking or thinking about my illness doesn't make any difference to me.,I think I have a particular meaning and purpose of my life.,In most ways my life is close to my ideal.,The conditions of my life are excellent.,I am quite good at managing responsibilities of my daily life.,Undecided,Agree,Undecided,Undecided,Agree,Agree,Undecided,Undecided,Disagree,Undecided,Disagree,Strongly Agree,Disagree,Undecided,Disagree,Undecided,Disagree,Undecided,Disagree,Strongly Disagree,Undecided,Disagree,Undecided,Agree,Strongly Agree,Undecided,Disagree,Undecided,Undecided,Undecided,Undecided,Agree,Disagree,Undecided,Disagree,Undecided,Disagree,Undecided,Undecided,Undecided,Undecided,Undecided,Agree,Agree,Undecided,Disagree,Undecided,Undecided,Undecided,Disagree,"Overall, I've been doing well but sometimes feel a bit down.",146,Single
I always keep committed and involved.,I am quite good at managing responsibilities of my daily life.,I have no hesitation in talking to anyone.,I enjoy the company of other people.,I think it is important to have new experiences that challenge how you think about yourself and the world.,In my daily life I get a chance to show how capable I am.,"For me, life has been a continuous process of learning, changing, and growth.",I have no difficulty sleeping.,It is always necessary that others approve of what I do.,I find easy to make decisions.,"So far, I have the important things I want in life.",I am always careful about my manner of dress.,I feel I must do what others expect me to do.,The thought of an accident doesn't affect me.,I feel rested when I wake up in the morning.,"In many ways, I feel contented about my achievements in life.",I feel I can easily handle or cope with any serious problem.,"If I could live my life over, I would change almost nothing.",I have a good influence on life.,"I perform useful activities like reading, gardening, etc., in my leisure time.",Talking or thinking about my illness doesn't make any difference to me.,I feel eager to tackle my daily tasks or make new decisions.,I feel satisfied by doing religious activities.,I like to do any task at the right place and right time.,I take immense interest in other people.,I experience warm and trusting relationships with others.,I have happy memories of the past.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I am very much satisfied about everything in my life.,I think I have a particular meaning and purpose of my life.,Tension in life doesn't affect my health.,"People would describe me as a giving person, willing to share my time with others.",I enjoy my personal achievements.,In most ways my life is close to my ideal.,I feel positive and creative.,Illness doesn't affect my mental health.,I have an adjusting nature and sense of belongingness.,Personal relationships give me pleasure.,I like to watch programs on TV with everyone.,I feel that I am capable of working hard.,I keep myself busy the whole day.,I find I can think quite clearly.,Maintaining close relationships gives pleasure to me.,The conditions of my life are excellent.,"I remain energetic, active, and vigorous the whole day.",Age-related problems are part of life.,"In general, I feel I am in charge of the situation in which I live.",I believe that people are essentially good and can be trusted.,I am living the kind of life I wanted to.,I have good relations with relatives and friends.,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,"Overall, I have been doing well but sometimes I feel a bit down.",212,Single
"Usually, I don't feel tired, worn out, used up, or exhausted.","People would describe me as a giving person, willing to share my time with others.","If I could live my life over, I would change almost nothing.",I have good relations with relatives and friends.,I believe that people are essentially good and can be trusted.,I feel that I am capable of working hard.,In most ways my life is close to my ideal.,I feel satisfied by doing religious activities.,I like to watch programs on TV with everyone.,I am always careful about my manner of dress.,Illness doesn't affect my mental health.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I am quite good at managing responsibilities of my daily life.,"In many ways, I feel contented about my achievements in life.",I enjoy the company of other people.,I find easy to make decisions.,I have a good influence on life.,In my daily life I get a chance to show how capable I am.,I am living the kind of life I wanted to.,Talking or thinking about my illness doesn't make any difference to me.,The thought of an accident doesn't affect me.,"In general, I feel I am in charge of the situation in which I live.","For me, life has been a continuous process of learning, changing, and growth.",I like to do any task at the right place and right time.,"I remain energetic, active, and vigorous the whole day.",The conditions of my life are excellent.,I am very much satisfied about everything in my life.,I feel I must do what others expect me to do.,Tension in life doesn't affect my health.,"So far, I have the important things I want in life.",I enjoy my personal achievements.,I feel positive and creative.,Age-related problems are part of life.,I feel eager to tackle my daily tasks or make new decisions.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I have happy memories of the past.,I have no difficulty sleeping.,I have no hesitation in talking to anyone.,I feel rested when I wake up in the morning.,Personal relationships give me pleasure.,I have an adjusting nature and sense of belongingness.,It is always necessary that others approve of what I do.,I experience warm and trusting relationships with others.,I find I can think quite clearly.,I take immense interest in other people.,I keep myself busy the whole day.,I feel I can easily handle or cope with any serious problem.,Maintaining close relationships gives pleasure to me.,I always keep committed and involved.,I think I have a particular meaning and purpose of my life.,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Undecided,Strongly Agree,Agree,Undecided,Agree,Undecided,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Strongly Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,Agree,Undecided,Agree,Strongly Agree,"Overall, I've been doing well but feel a bit down sometimes. ",193,Focused on Self-Growth
I have happy memories of the past.,I take immense interest in other people.,I have no hesitation in talking to anyone.,I feel I can easily handle or cope with any serious problem.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I have an adjusting nature and sense of belongingness.,It is always necessary that others approve of what I do.,I am always careful about my manner of dress.,Illness doesn't affect my mental health.,I have no difficulty sleeping.,"In general, I feel I am in charge of the situation in which I live.","In many ways, I feel contented about my achievements in life.",I feel rested when I wake up in the morning.,I enjoy my personal achievements.,I always keep committed and involved.,I am living the kind of life I wanted to.,I feel satisfied by doing religious activities.,The thought of an accident doesn't affect me.,I experience warm and trusting relationships with others.,Talking or thinking about my illness doesn't make any difference to me.,I feel that I am capable of working hard.,I have a good influence on life.,"So far, I have the important things I want in life.",Age-related problems are part of life.,"I perform useful activities like reading, gardening, etc., in my leisure time.","I remain energetic, active, and vigorous the whole day.",I believe that people are essentially good and can be trusted.,I have good relations with relatives and friends.,"If I could live my life over, I would change almost nothing.","People would describe me as a giving person, willing to share my time with others.",I am quite good at managing responsibilities of my daily life.,"For me, life has been a continuous process of learning, changing, and growth.",The conditions of my life are excellent.,I am very much satisfied about everything in my life.,I like to do any task at the right place and right time.,I think I have a particular meaning and purpose of my life.,I feel I must do what others expect me to do.,I keep myself busy the whole day.,Maintaining close relationships gives pleasure to me.,Tension in life doesn't affect my health.,I feel eager to tackle my daily tasks or make new decisions.,I find I can think quite clearly.,I like to watch programs on TV with everyone.,Personal relationships give me pleasure.,In my daily life I get a chance to show how capable I am.,I feel positive and creative.,In most ways my life is close to my ideal.,I enjoy the company of other people.,I find easy to make decisions.,I think it is important to have new experiences that challenge how you think about yourself and the world.,Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Agree,Undecided,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Undecided,Disagree,Agree,Undecided,Agree,Agree,Undecided,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Undecided,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Undecided,Agree,,196,In a Relationship
I feel satisfied by doing religious activities.,I have a good influence on life.,I am always careful about my manner of dress.,Age-related problems are part of life.,Personal relationships give me pleasure.,In my daily life I get a chance to show how capable I am.,I have good relations with relatives and friends.,It is always necessary that others approve of what I do.,"Usually, I don't feel tired, worn out, used up, or exhausted.",Talking or thinking about my illness doesn't make any difference to me.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I keep myself busy the whole day.,I find I can think quite clearly.,"People would describe me as a giving person, willing to share my time with others.","In many ways, I feel contented about my achievements in life.",I feel rested when I wake up in the morning.,I believe that people are essentially good and can be trusted.,Tension in life doesn't affect my health.,Illness doesn't affect my mental health.,I take immense interest in other people.,I always keep committed and involved.,I like to watch programs on TV with everyone.,I enjoy the company of other people.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I feel that I am capable of working hard.,I think I have a particular meaning and purpose of my life.,I feel I must do what others expect me to do.,I have happy memories of the past.,I am living the kind of life I wanted to.,I am quite good at managing responsibilities of my daily life.,"If I could live my life over, I would change almost nothing.",I feel positive and creative.,I am very much satisfied about everything in my life.,I have an adjusting nature and sense of belongingness.,I experience warm and trusting relationships with others.,I have no hesitation in talking to anyone.,The conditions of my life are excellent.,I have no difficulty sleeping.,I feel I can easily handle or cope with any serious problem.,"I remain energetic, active, and vigorous the whole day.",I find easy to make decisions.,In most ways my life is close to my ideal.,Maintaining close relationships gives pleasure to me.,"In general, I feel I am in charge of the situation in which I live.","For me, life has been a continuous process of learning, changing, and growth.",The thought of an accident doesn't affect me.,"So far, I have the important things I want in life.",I enjoy my personal achievements.,I like to do any task at the right place and right time.,I feel eager to tackle my daily tasks or make new decisions.,Strongly Agree,Undecided,Agree,Strongly Agree,Undecided,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Undecided,Undecided,Undecided,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Undecided,Agree,Agree,"Overall, I've been doing well but sometimes feel a bit down.",146,Single
"In many ways, I feel contented about my achievements in life.","So far, I have the important things I want in life.",I like to do any task at the right place and right time.,I have a good influence on life.,I am quite good at managing responsibilities of my daily life.,I feel rested when I wake up in the morning.,Age-related problems are part of life.,I enjoy the company of other people.,I have no hesitation in talking to anyone.,I feel satisfied by doing religious activities.,I find I can think quite clearly.,I am always careful about my manner of dress.,I am very much satisfied about everything in my life.,The thought of an accident doesn't affect me.,I like to watch programs on TV with everyone.,"For me, life has been a continuous process of learning, changing, and growth.",I keep myself busy the whole day.,I feel I must do what others expect me to do.,"Usually, I don't feel tired, worn out, used up, or exhausted.",I feel eager to tackle my daily tasks or make new decisions.,"I remain energetic, active, and vigorous the whole day.","If I could live my life over, I would change almost nothing.","I perform useful activities like reading, gardening, etc., in my leisure time.",I have happy memories of the past.,In most ways my life is close to my ideal.,Tension in life doesn't affect my health.,In my daily life I get a chance to show how capable I am.,I have an adjusting nature and sense of belongingness.,I have no difficulty sleeping.,I have good relations with relatives and friends.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I believe that people are essentially good and can be trusted.,"In general, I feel I am in charge of the situation in which I live.",I am living the kind of life I wanted to.,I think I have a particular meaning and purpose of my life.,Illness doesn't affect my mental health.,Personal relationships give me pleasure.,I feel that I am capable of working hard.,Talking or thinking about my illness doesn't make any difference to me.,I feel positive and creative.,The conditions of my life are excellent.,It is always necessary that others approve of what I do.,Maintaining close relationships gives pleasure to me.,I feel I can easily handle or cope with any serious problem.,I experience warm and trusting relationships with others.,"People would describe me as a giving person, willing to share my time with others.",I take immense interest in other people.,I always keep committed and involved.,I enjoy my personal achievements.,I find easy to make decisions.,Agree,Undecided,Strongly Agree,Agree,Agree,Undecided,Disagree,Strongly Agree,Undecided,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Agree,Undecided,Disagree,Disagree,Agree,Undecided,Agree,Undecided,Undecided,Undecided,Agree,Strongly Agree,Undecided,Agree,Agree,Undecided,Undecided,Undecided,Agree,Disagree,Agree,Undecided,Disagree,Agree,Agree,Undecided,Undecided,Agree,Undecided,Agree,Agree,,180,Single
I feel I must do what others expect me to do.,I feel that I am capable of working hard.,Illness doesn't affect my mental health.,In most ways my life is close to my ideal.,The conditions of my life are excellent.,I take immense interest in other people.,"I perform useful activities like reading, gardening, etc., in my leisure time.",I am always careful about my manner of dress.,I keep myself busy the whole day.,I enjoy my personal achievements.,I am very much satisfied about everything in my life.,Tension in life doesn't affect my health.,In my daily life I get a chance to show how capable I am.,I have a good influence on life.,"People would describe me as a giving person, willing to share my time with others.",I enjoy the company of other people.,I experience warm and trusting relationships with others.,I am quite good at managing responsibilities of my daily life.,I have no hesitation in talking to anyone.,Age-related problems are part of life.,"I remain energetic, active, and vigorous the whole day.","In general, I feel I am in charge of the situation in which I live.","In many ways, I feel contented about my achievements in life.",I feel rested when I wake up in the morning.,Maintaining close relationships gives pleasure to me.,I feel positive and creative.,"So far, I have the important things I want in life.",I have no difficulty sleeping.,I think I have a particular meaning and purpose of my life.,Talking or thinking about my illness doesn't make any difference to me.,I have happy memories of the past.,I find easy to make decisions.,I like to watch programs on TV with everyone.,"For me, life has been a continuous process of learning, changing, and growth.",I am living the kind of life I wanted to.,I like to do any task at the right place and right time.,I have an adjusting nature and sense of belongingness.,Personal relationships give me pleasure.,I think it is important to have new experiences that challenge how you think about yourself and the world.,I always keep committed and involved.,I have good relations with relatives and friends.,It is always necessary that others approve of what I do.,"Usually, I don't feel tired, worn out, used up, or exhausted.","If I could live my life over, I would change almost nothing.",I find I can think quite clearly.,I believe that people are essentially good and can be trusted.,I feel eager to tackle my daily tasks or make new decisions.,I feel I can easily handle or cope with any serious problem.,The thought of an accident doesn't affect me.,I feel satisfied by doing religious activities.,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,I've been feeling a bit anxious and stressed due to work.,159,Single
